Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57917042,Anatomy: A Love Story,Dana Schwartz,"Schwartz, Dana",,"=""""","=""""",4,3.79,Wednesday Books,Hardcover,338,2022,2022,2022/03/07,2022/03/07,2022,2022 (#7),read,,,,1,0
58536005,The Club,Ellery Lloyd,"Lloyd, Ellery",,"=""""","=""""",2,3.36,Harper,Hardcover,320,2022,2022,2022/03/18,2022/03/09,2022,2022 (#6),read,,,,1,0
57717410,The 1619 Project: A New Origin Story,Nikole Hannah-Jones,"Hannah-Jones, Nikole",,"=""0593230574""","=""9780593230572""",0,4.62,One World,Hardcover,624,2021,2019,,2022/03/22,to-read,to-read (#9),to-read,,,,0,0
58130091,One Little Word,Audra McElyea,"McElyea, Audra",,"=""""","=""""",0,3.99,Red Adept Publishing,Kindle Edition,291,2022,2022,,2022/03/18,to-read,to-read (#8),to-read,,,,0,0
52476830,The Push,Ashley Audrain,"Audrain, Ashley",,"=""1984881663""","=""9781984881663""",0,4.09,Pamela Dorman Books,Hardcover,307,2021,2021,,2022/03/09,to-read,to-read (#7),to-read,,,,0,0
35297426,Then She Was Gone,Lisa Jewell,"Jewell, Lisa",,"=""1501154648""","=""9781501154645""",0,4.06,Atria Books,Hardcover,359,2018,2017,,2022/03/09,to-read,to-read (#6),to-read,,,,0,0
31434883,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,"=""0735220689""","=""9780735220683""",5,4.25,Pamela Dorman Books / Viking,Hardcover,336,2017,2017,2022/03/02,2022/03/02,2022,2022 (#5),read,"NO SPOILERS:<br/>“Eleanor Oliphant is Completely Fine” feels like such a needed hug. For anyone who has been through, really, .. anything- this book is for you. Hope courage, and heartwarming chapters. The heroine is so unlikely- she is like no other character I’ve read before. Honeyman’s realistic view of the world through Eleanor’s eyes is charming. <br/><br/>Beautifully paced writing , and meaningful dialogue brings you to a surprising twist- but oddly enough- it is a grain of salt when compared to the true meaning of Eleanor’s story- hope and recovery. <br/><br/>All awhile she’s looking for a way out, she makes it out in an unlikely way with the help of an unlikely friend. Gladly, and for a nice change- it is not a love story- but one of companionship and healing. <br/><br/>Witty, charming, and delightful- Eleanor will stay with me forever.",,,1,0
46000520,"The Thursday Murder Club (Thursday Murder Club, #1)",Richard Osman,"Osman, Richard",,"=""""","=""""",2,3.93,Penguin,Kindle Edition,382,2020,2020,2022/03/02,2022/01/21,2022,2022 (#4),read,,,,1,0
23667792,The Abundance of Katherines,John Green,"Green, John",,"=""""","=""""",0,3.53,Penguin Group,Paperback,215,2006,2006,,2022/01/24,to-read,to-read (#5),to-read,,,,0,0
99561,Looking for Alaska,John Green,"Green, John",,"=""""","=""9781435249158""",0,3.98,Speak,Paperback,221,2006,2005,,2022/01/24,to-read,to-read (#4),to-read,,,,0,0
